postcode,state,sa4,individuals,taxable_income,net_tax,avg_taxable_income,avg_net_tax,effective_tax_rate,avg_salary,avg_gross_interest,avg_dividends,avg_capital_gains,avg_gross_rent,avg_net_rent,avg_help_debt,avg_govt_allowances,avg_business_income,pct_private_health
2303,NSW,Newcastle and Lake Macquarie,5887,480284797,126011784,81583.96,21405.09,26.24,60380.73,998.86,2751.2,2285.13,5098.77,595.36,5855.92,724.02,6020.31,69.5
2304,NSW,Newcastle and Lake Macquarie,9245,611502605,134227571,66144.14,14518.94,21.95,59775.99,429.58,553.36,714.07,2641.81,117.62,6460.34,820.16,2497.33,58.3
2305,NSW,Newcastle and Lake Macquarie,8433,700111093,182511441,83020.41,21642.53,26.07,64887.07,927.46,2272.15,1769.04,4145.25,341.87,4705.1,445.24,7021.08,74.4
2306,NSW,Newcastle and Lake Macquarie,1144,52583001,8567066,45964.16,7488.69,16.29,40424.74,106.68,149.81,233.37,612.5,20.54,2227.74,2188.62,783.33,21.8
2307,NSW,Newcastle and Lake Macquarie,2644,150029283,29843353,56743.3,11287.2,19.89,52498.22,339.45,434.59,393.45,1267.29,118.99,6750.42,919.18,1431.87,48.2
2308,NSW,Newcastle and Lake Macquarie,231,5200951,499892,22514.94,2164.03,9.61,20013.05,92.45,5.9,2.0,77.11,-8.74,8347.77,2554.23,130.92,43.7
2311,NSW,Hunter Valley exc Newcastle,538,29092049,6611306,54074.44,12288.67,22.73,45117.39,755.64,3543.75,1758.71,3565.22,619.74,2315.37,644.32,-1366.57,74.3
2312,NSW,Mid North Coast,846,44082872,8732495,52107.41,10322.1,19.81,40062.84,821.2,1326.95,2601.62,2801.55,737.41,1705.09,706.68,2100.39,54.6
2315,NSW,Hunter Valley exc Newcastle,8884,566835558,131477013,63804.09,14799.3,23.19,43816.69,1205.69,4277.2,1935.8,3971.87,784.61,2147.29,508.97,2784.13,61.2
2316,NSW,Hunter Valley exc Newcastle,3780,223923206,47970489,59238.94,12690.61,21.42,46451.26,726.39,1895.49,1483.14,3429.45,525.3,2495.25,490.81,2557.97,62.8
2317,NSW,Hunter Valley exc Newcastle,3686,225531448,50520145,61185.96,13705.95,22.4,41238.62,1671.99,3597.54,2239.33,3749.52,764.93,2041.04,583.45,3182.07,64.8
2318,NSW,Hunter Valley exc Newcastle,8444,585819275,135964784,69376.99,16101.94,23.21,56685.98,586.66,1741.82,1719.12,3084.61,269.45,2560.48,407.05,1643.99,63.6
2319,NSW,Hunter Valley exc Newcastle,3503,193254858,38164727,55168.39,10894.87,19.75,46957.37,490.95,813.98,943.26,2058.23,311.36,1998.84,872.86,1518.61,49.2
2320,NSW,Hunter Valley exc Newcastle,23629,1710338840,409949275,72383.04,17349.41,23.97,62869.52,563.89,1863.3,1476.87,2587.51,58.38,2997.77,570.96,1519.56,63.7
2321,NSW,Hunter Valley exc Newcastle,13004,1078005787,287263920,82898.01,22090.43,26.65,63267.56,486.49,1526.6,12754.04,2223.46,88.4,3249.84,475.3,1402.15,64.8
